Symbols,Multiplier

600346.SS,10.043

600389.SS,13.637

600399.SS,11.307

600436.SS,19.803

600438.SS,23.476

600460.SS,15.646

600486.SS,16.519

600563.SS,12.111

600702.SS,11.987

600732.SS,12.572

600745.SS,13.584

600763.SS,16.409

600809.SS,15.308

600845.SS,13.387

601012.SS,59.513

601100.SS,11.553

601799.SS,13.754

601888.SS,17.12

603019.SS,12.083

603032.SS,10.293

603127.SS,23.873

603290.SS,20.49

603345.SS,10.222

603392.SS,25.618

603501.SS,16.617

603605.SS,10.357

603606.SS,10.007

603613.SS,12.319

603690.SS,14.347

603737.SS,19.897

603799.SS,32.718

603986.SS,22.391

605358.SS,13.14

